energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,artist,track_name,popularity,success
0.612,0.109,146.012,0.0948,0.258,0.0,3,0.695,5,148048,-7.492,0.26,1,Egor Kreed,LAMBO URUS,70,1
0.661,0.128,82.82,0.195,0.119,0.000267,4,0.533,0,171529,-8.078,0.466,0,C.Gambino,TANKAR,61,1
0.527,0.116,113.007,0.0769,0.436,0.00493,4,0.802,9,225400,-6.315,0.33,1,Klangkarussell,Home,64,1
0.756,0.103,100.07,0.0572,0.362,0.000685,4,0.725,4,186133,-5.013,0.828,1,Boza,Hecha Pa' Mi,80,1
0.67,0.195,87.595,0.387,0.104,0.0,4,0.615,6,567001,-5.796,0.299,0,Oxxxymiron,КТО УБИЛ МАРКА?,64,1
0.492,0.105,144.0,0.125,0.734,0.000286,4,0.832,3,125000,-7.044,0.439,0,Aga's Gonzales,Jelatin,69,1
0.621,0.0845,128.986,0.0565,0.0164,0.00233,4,0.828,8,186173,-6.414,0.436,1,Doja Cat,You Right,86,1
0.782,0.0594,115.082,0.119,0.278,0.0,4,0.822,9,150277,-4.836,0.904,0,VALMAR,Éget a nap,56,1
0.791,0.141,96.921,0.0318,0.00345,0.0,4,0.516,3,324633,-1.927,0.48,1,Official HIGE DANdism,115万キロのフィルム,72,1
0.713,0.513,143.052,0.241,0.495,0.0,4,0.723,2,158601,-6.879,0.803,0,ArrDee,Flowers (Say My Name),72,1
0.46,0.104,126.952,0.312,0.264,3.71e-06,4,0.836,0,152604,-7.413,0.415,1,Booba,Geronimo,69,1
0.893,0.366,126.011,0.0347,0.0451,2.79e-05,4,0.807,11,230747,-3.745,0.537,0,Ed Sheeran,Bad Habits,83,1
0.803,0.0817,124.961,0.0445,0.03,0.0,4,0.716,10,230400,-5.14,0.325,0,Badshah,Jugnu,68,1
0.666,0.108,143.0,0.359,0.174,0.0,4,0.763,7,174545,-10.844,0.69,0,Digga D,Wasted,75,1
0.691,0.0476,150.087,0.0672,0.0221,0.0,4,0.741,10,212353,-7.395,0.892,0,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),90,1
0.62,0.112,120.031,0.232,0.414,0.0192,4,0.798,8,164000,-7.079,0.235,0,Tiësto,The Business,87,1
0.658,0.154,101.912,0.0714,0.573,0.0,4,0.676,9,171764,-5.685,0.596,0,Marília Mendonça,Fã Clube,71,1
0.738,0.118,119.976,0.0403,0.00226,4.41e-06,4,0.721,7,154983,-4.77,0.637,1,Marshmello,Leave Before You Love Me (with Jonas Brothers),88,1
0.658,0.222,83.01,0.0297,0.106,0.00232,4,0.579,2,226307,-8.838,0.866,0,Yüzyüzeyken Konuşuruz,Sen Varsın Diye,74,1
0.583,0.13,119.914,0.037,0.334,0.0,4,0.802,5,206125,-3.85,0.48,0,Paulina,Ajándék,53,1
0.472,0.124,139.748,0.0344,0.875,0.0,4,0.671,8,197500,-7.898,0.663,0,Eden Hason,גדל לי קצת זקן,58,1
0.609,0.0776,95.01,0.0672,0.297,0.000591,4,0.857,0,217263,-3.769,0.351,1,Harry Nach,¿Por Qué Te Enojái?,72,1
0.422,0.102,149.527,0.0313,0.673,0.0,4,0.488,2,265936,-7.709,0.409,1,Shi Shi,雨不停。流 - 電視劇《無神之地不下雨》片尾曲,55,1
0.708,0.513,92.019,0.0598,0.385,0.0,4,0.659,4,240000,-5.705,0.584,0,SIMONA,Момиче от лед,42,1
0.84,0.17,139.982,0.226,0.528,0.0,4,0.735,9,215862,-7.962,0.669,0,Immune,Matador,53,1
0.609,0.144,112.021,0.0702,0.00396,0.0162,4,0.906,7,385753,-10.554,0.361,0,Mas Musiq,Inhliziyo (feat. Babalwa M),46,1
0.989,0.184,126.002,0.0434,0.015,0.357,4,0.621,10,158095,-4.225,0.0348,0,Shouse,Love Tonight - David Guetta Remix Edit,84,1
0.616,0.0927,148.088,0.0324,0.182,0.0,4,0.586,5,242096,-7.964,0.719,1,Bruno Mars,Leave The Door Open,88,1
0.543,0.105,91.996,0.0748,0.519,0.000705,4,0.789,7,222799,-6.382,0.463,1,Morad,Cuando Ella Sale,73,1
0.732,0.434,98.211,0.253,0.262,1.52e-06,4,0.905,6,158112,-4.743,0.55,0,Spike,Zeu,49,1
0.729,0.448,92.009,0.0608,0.00508,0.0073,4,0.713,5,176213,-7.241,0.483,1,ABREU,Laineet (Vain elämää kausi 12),52,1
0.531,0.115,113.006,0.0608,0.048,0.000102,4,0.819,11,382340,-13.419,0.519,0,De Mthuda,Jola,41,1
0.82,0.29,141.908,0.275,0.0951,0.0,4,0.545,8,150476,-4.489,0.357,1,Lil Tjay,Not In The Mood (feat. Fivio Foreign & Kay Flock),80,1
0.662,0.126,84.006,0.0647,0.578,0.0,4,0.742,5,200000,-4.651,0.486,1,Đen,Đi Về Nhà,58,1
0.628,0.107,125.991,0.0536,0.644,2.48e-06,4,0.866,6,145162,-5.575,0.731,0,Djadja & Dinaz,Dans le Réseau,63,1
